end_station,end_lat,end_lon,day,end_count,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count
4396,34.01157,-118.495422,Tuesday,8,1,0,0,0,1,1,4,1
4397,34.02697,-118.428207,Tuesday,11,0,0,0,3,5,2,1,0
4400,34.01688,-118.428452,Tuesday,31,0,0,7,8,2,7,2,5
4401,34.027828,-118.247139,Tuesday,65,7,4,14,6,8,11,7,8
4404,34.075611,-118.291862,Tuesday,43,6,0,2,3,5,14,6,7
4405,34.101509,-118.33979,Tuesday,39,0,0,1,3,10,6,14,5
4406,34.04813,-118.271027,Tuesday,17,0,0,2,4,8,1,1,1
4408,34.051899,-118.293678,Tuesday,14,0,0,0,2,6,2,4,0
4409,34.101891,-118.300613,Tuesday,33,0,0,3,13,3,7,6,1
4410,34.101871,-118.29377,Tuesday,114,12,1,5,10,18,22,23,23
4413,34.011799,-118.419533,Tuesday,18,2,0,0,4,2,5,4,1
4414,33.986511,-118.441917,Tuesday,22,2,0,6,3,1,1,9,0
4415,34.063351,-118.296799,Tuesday,12,0,1,0,4,0,1,4,2
4416,34.158321,-118.370811,Tuesday,12,1,0,0,6,2,0,1,2
4417,34.16835,-118.387497,Tuesday,8,2,0,0,1,3,1,1,0
4418,34.168331,-118.396156,Tuesday,6,0,0,0,5,1,0,0,0
4419,34.157581,-118.38826,Tuesday,4,0,0,1,1,1,0,1,0
4420,34.164951,-118.363632,Tuesday,76,1,0,19,20,13,13,5,5
4422,34.150688,-118.366127,Tuesday,6,0,0,0,1,4,1,0,0
4425,34.165218,-118.355148,Tuesday,3,0,0,1,0,0,0,2,0
4426,34.168629,-118.377068,Tuesday,14,0,0,2,7,0,1,2,2
4427,34.152142,-118.361954,Tuesday,8,0,0,0,1,0,1,5,1
4428,34.152,-118.350601,Tuesday,16,0,0,2,1,1,2,10,0
4429,34.149872,-118.378891,Tuesday,16,0,1,0,1,4,3,6,1
4430,34.162891,-118.370163,Tuesday,7,1,0,1,2,0,1,0,2
4431,34.161709,-118.372818,Tuesday,8,1,0,1,1,2,2,0,1
4432,34.168751,-118.36187,Tuesday,7,0,0,1,3,1,2,0,0
4436,34.172451,-118.370369,Tuesday,2,0,0,1,1,0,0,0,0
4437,34.177662,-118.382278,Tuesday,6,0,0,0,1,1,2,2,0
4438,34.139568,-118.362251,Tuesday,4,0,0,1,0,1,1,1,0
4440,33.738991,-118.28363,Tuesday,6,0,0,0,0,1,3,2,0
4441,34.105782,-118.291939,Tuesday,2,0,0,0,0,0,1,1,0
4443,34.105358,-118.28727,Tuesday,10,0,0,1,1,0,3,4,1
4444,34.094929,-118.284561,Tuesday,4,0,0,0,1,2,0,0,1
,34.061661,-118.298241,,,,,,,,,,
,34.026619,-118.281807,,,,,,,,,,
,34.098,-118.300468,,,,,,,,,,
,34.02166,-118.278687,,,,,,,,,,
,34.061619,-118.305573,,,,,,,,,,
,34.073639,-118.251572,,,,,,,,,,
,34.04557,-118.274193,,,,,,,,,,
,34.082649,-118.284393,,,,,,,,,,
