start_station,start_lat,start_lon,day,time_range_0_count,time_range_3_count,time_range_6_count,time_range_9_count,time_range_12_count,time_range_15_count,time_range_18_count,time_range_21_count,start_count
4349,33.996239,-118.477448,Thursday,0,1,2,11,27,30,20,1,92
4350,33.9986,-118.472977,Thursday,0,0,0,2,4,3,5,2,16
4351,33.993729,-118.45356,Thursday,0,9,4,5,6,8,9,1,42
4352,33.988419,-118.45163,Thursday,0,0,1,11,4,2,10,10,38
4353,33.988129,-118.471741,Thursday,0,0,2,5,15,19,14,5,60
4354,34.017681,-118.409081,Thursday,0,0,1,0,3,1,2,1,8
4372,34.027882,-118.388901,Thursday,0,0,0,0,0,6,5,2,13
4378,34.022331,-118.415771,Thursday,0,0,10,0,1,1,0,0,12
4379,34.017368,-118.420601,Thursday,0,0,1,0,0,1,0,0,2
4380,33.982922,-118.410927,Thursday,0,0,0,2,0,4,7,0,13
4381,34.000332,-118.402321,Thursday,0,0,0,0,3,2,1,0,6
4382,34.030472,-118.420982,Thursday,0,0,2,1,0,2,6,0,11
